gene_id	chrom	left	right
COMMD7	20	31290492	31331803
COMMD8	4	47452884	47465736
COMMD9	11	36295050	36310979
COMMD10	5	115420687	115628984
COMP	19	18893582	18902123
COMT	22	19929129	19957498
COMTD1	10	76993726	76995769
COPA	1	160259062	160313190
COPB1	11	14464985	14479432
COPB2	3	139074441	139077963
COPG1	3	128968448	128996614
COPG2	7	130146088	130148500
COPRS	17	30178882	30186356
COPS3	17	17150140	17184091
COPS4	4	83955599	83996942
COPS5	8	67955313	67977178
COPS5P1	6	93801693	93802478
COPS6	7	99686576	99689823
COPS7A	12	6832906	6841022
COPS7B	2	232646380	232672434
COPS8	2	237993954	238009109
COPS8P2	3	68194153	68194780
COPS8P3	11	78292719	78293201
COPS9	2	241065979	241075764
COPZ1	12	54694985	54739259
COPZ2	17	46103532	46114272
COQ2	4	84182688	84205948
COQ3	6	99817275	99842080
COQ4	9	131084814	131096351
COQ5	12	120941076	120966985
COQ6	14	74416628	74429811
COQ7	16	19078920	19091417
COQ8A	1	227085236	227175246
COQ8B	19	41197433	41222790
COQ9	16	57481336	57488216
COQ10A	12	56660641	56664748
COQ10B	2	198318146	198340032
COQ10BP2	5	82575739	82576463
CORIN	4	47596014	47839966
CORO1A	16	30194147	30198815
CORO1B	11	67205518	67211263
CORO1C	12	109038884	109125372
CORO2A	9	100883256	100954922
CORO2B	15	68871307	69020145
CORO6	17	27941773	27948441
CORO7	16	4404542	4466665
CORO7-PAM16	16	4390251	4470495
CORT	1	10509775	10511959
COTL1	16	84599199	84651683
COTL1P1	17	16757248	16757623
COTL1P2	17	20467850	20468202
COX4I1	16	85832238	85838598
COX4I1P1	14	62298578	62299087
COX4I1P2	13	46245979	46246526
COX4I2	20	30225690	30232809
COX5A	15	75212131	75230509
COX5AP2	14	52584319	52584713
COX5B	2	98262502	98264846
COX5BP1	4	82841147	82841540
COX5BP2	6	136355168	136356293
COX5BP3	7	133412120	133412487
COX5BP6	13	101276128	101276683
COX5BP7	22	39516297	39516571
COX5BP8	1	179224867	179225216
COX6A1	12	120875892	120878545
COX6A1P2	6	37012606	37013177
COX6A1P3	6	121102365	121102658
COX6A2	16	31439051	31439749
COX6B1	19	36139124	36149763
COX6B1P1	7	148751052	148751265
COX6B1P2	17	46791091	46791321
COX6B1P3	22	40965289	40965899
COX6B1P4	8	26693333	26693817
COX6B1P5	4	2235977	2236226
COX6B1P6	8	90835775	90836030
COX6B1P7	1	68748070	68748305
COX6C	8	100885427	100905934
COX6CP1	16	11997779	11997994
COX6CP2	20	49096303	49096528
COX6CP3	18	1176790	1177013
COX6CP4	15	36864185	36864413
COX6CP5	11	7999027	7999255
COX6CP6	3	70800273	70800501
COX6CP7	19	50005688	50005896
COX6CP8	8	65244483	65244709
COX6CP10	3	33596127	33596351
COX6CP11	14	78119169	78119398
COX6CP12	X	67865167	67865369
COX6CP13	1	65764437	65764663
COX6CP14	3	49795915	49796089
COX6CP15	10	79193329	79193540
COX6CP16	16	85312425	85312641
COX6CP17	10	7337067	7337252
COX6CP18	11	2792585	2792807
COX7A1	19	36641823	36643771
COX7A2	6	75947390	75960039
COX7A2L	2	42560685	42588289
COX7A2P2	4	97823951	97824201
COX7B	X	77154934	77162870
COX7B2	4	46736843	46911248
COX7BP1	22	35590691	35590935
COX7BP2	20	34438595	34438837
COX7C	5	85913720	85916779
COX7CP1	13	49761614	49761806
COX8A	11	63742078	63744015
COX8C	14	93813536	93814702
COX10	17	13972812	13980639
COX10-AS1	17	13659794	13796156
COX11	17	53029262	53046014
COX11P1	6	28414749	28415584
COX15	10	101471600	101491857
COX16	14	70791797	70826448
COX17	3	119373359	119395769
COX17P1	13	47064996	47065397
COX18	4	73921796	73935458
COX19	7	938414	1015185
COX20	1	244998623	245008359
COX20P1	10	70392127	70392484
COX20P2	2	231822307	231822665
CP	3	148880196	148939614
CPA1	7	130020179	130023323
CPA2	7	129906666	129929638
CPA3	3	148583042	148614983
CPA4	7	129932973	129964020
CPA5	7	129984629	130008567
CPA6	8	68334359	68658578
CPAMD8	19	17003757	17137625
CPB1	3	148508888	148577974
CPB2	13	46627320	46679161
CPB2-AS1	13	46626940	46670666
CPD	17	28705922	28797007
CPDP1	17	26004830	26005113
CPE	4	166282345	166403474
CPEB1	15	83211950	83225286
CPEB1-AS1	15	83316520	83361572
CPEB2	4	15004297	15071777
CPEB2-AS1	4	14911584	15003669
CPEB3	10	93806448	94003003
CPEB4	5	173315282	173388979
CPED1	7	120628730	120937498
CPHL1P	3	148947142	148959176
CPLX1	4	778744	819986
CPLX2	5	175223312	175311023
CPLX3	15	75118887	75124141
CPLX4	18	56942387	56985776
CPM	12	69235976	69250324
CPN1	10	101801949	101841634
CPN2	3	194060493	194072057
CPNE1	20	34213952	34252808
CPNE2	16	57126448	57181878
CPNE3	8	87497058	87573726
CPNE4	3	131252398	131261937
CPNE5	6	36708551	36725158
CPNE6	14	24540045	24547204
CPNE7	16	89642175	89663654
CPNE8	12	39040623	39073424
CPNE9	3	9745490	9771592
CPO	2	207804277	207834198
CPOX	3	98239975	98304342
CPPED1	16	12756918	12897874
CPQ	8	97657454	98155729
CPS1	2	211342405	211441198
CPSF1	8	145618443	145619656
CPSF1P1	22	32665367	32669097
CPSF2	14	92588280	92630755
CPSF3	2	9563696	9613230
CPSF4	7	99036544	99054965
CPSF4L	17	71244587	71258019
CPSF7	11	61170120	61197503
CPT1A	11	68522087	68582971
CPT1B	22	51007289	51016449
CPT2	1	53662100	53679869
CPTP	1	1260135	1263374
CPVL	7	29034846	29186153
CPXCR1	X	88002225	88009786
CPXM1	20	2774714	2781283
CPXM2	10	125465722	125699783
CPZ	4	8594386	8621478
CR1	1	207669491	207732829
CR1L	1	207818457	207857381
CR2	1	207627574	207663240
CRABP1	15	78632665	78640572
CRABP2	1	156669397	156675393
CRACR2B	11	826143	828711
CRADD	12	94071150	94244512
CRAMP1	16	1662325	1727909
CRAT	9	131857088	131873083
CRB1	1	197170591	197447212
CRB2	9	126118448	126136378
CRB3	19	6463787	6467232
CRB3P1	3	1435856	1436132
CRBN	3	3190675	3221375
CRCP	7	65579590	65619555
CRCT1	1	152486977	152488486
CREB1	2	208394460	208462513
CREB3	9	35732331	35737001
CREB3L1	11	46299211	46342972
CREB3L2	7	137559724	137686803
CREB3L4	1	153940009	153941444
CREB5	7	28338939	28859617
CREBBP	16	3775054	3930727
CREBL2	12	12764760	12790508
CREBRF	5	172483354	172566291
CREBZF	11	85370751	85376146
CREG1	1	167498913	167515417
CREG2	2	101962012	102004057
CRELD1	3	9975505	9986678
CRELD2	22	50311814	50316355
CREM	10	35415718	35501053
CRH	8	67088619	67090960
CRHBP	5	76248537	76265299
CRHR1	17	43699266	43912137
CRHR2	7	30692199	30722314
CRIM1	2	36583068	36778278
CRIP1	14	105952653	105955128
CRIP1P1	3	12715197	12715382
CRIP1P2	3	25728386	25728614
CRIP1P3	1	202065886	202066106
CRIP1P4	22	25108258	25108489
CRIP2	14	105939298	105946031
CRIP3	6	43267447	43275614
CRIPAK	4	1385339	1389780
CRIPT	2	46843554	46852192
CRISP1	6	49801969	49834241
CRISP2	6	49660072	49681274
CRISP3	6	49695096	49712127
CRISPLD1	8	75896749	75946793
CRISPLD2	16	84853589	84943114
CRK	17	1323982	1359552
CRKL	22	21271713	21308037
CRLF2	X	1314889	1331527
CRLF3	17	29096405	29111431
CRLS1	20	5986735	6020699
CRMP1	4	5749810	5890198
CRNDE	16	54952774	54962463
CRNKL1	20	20015011	20036690
CRNN	1	152381718	152386739
CROCC	1	17066767	17267929
CROCC2	2	241858201	241870545
CROCCP1	X	134566884	134572559
CROCCP2	1	16944750	16957401
CROCCP3	1	16793930	16819196
CROCCP4	1	17076727	17077459
CROCCP5	1	21760810	21764051
CROT	7	86974996	87028797
CRP	1	159682078	159684379
CRPP1	1	159674772	159675397
CRTAC1	10	99624756	99696035
CRTAM	11	122709207	122743347
CRTAP	3	33155470	33189265
CRTC1	19	18794486	18888762
CRTC2	1	153920144	153931091
CRTC3-AS1	15	91163238	91260372
CRX	19	48322702	48339564
CRY1	12	107385141	107487607
CRY2	11	45868668	45902784
CRYAA	21	44589117	44592915
CRYAB	11	111779288	111782738
CRYBA1	17	27573880	27581501
CRYBA2	2	219854910	219858143
CRYBA4	22	27017927	27026636
CRYBB1	22	26995241	27014052
CRYBB2	22	25615488	25627836
CRYBB2P1	22	25844071	25857645
CRYBB3	22	25595816	25603330
CRYBG1	6	106959729	107018326
CRYBG2	1	26648349	26670443
CRYBG3	3	97595818	97663807
CRYGA	2	209025463	209028300
CRYGB	2	209007296	209010892
CRYGC	2	208992860	208994554
CRYGD	2	208986330	208989225
CRYGEP	2	208972956	208977235
CRYGFP	2	210009964	210012411
CRYGGP	2	52002395	52002540
CRYGN	7	151125920	151137899
CRYGS	3	186256229	186264491
CRYL1	13	20977805	21099996
CRYM	16	21250194	21289596
CRYM-AS1	16	21312169	21329269
CRYZ	1	75171169	75198714
CRYZL1	21	34961646	35014066
CRYZP1	7	102729110	102730057
CRYZP2	4	98837503	98838552
CS	12	56665482	56694102
CSAD	12	53551446	53574380
CSAG1	X	151903227	151909518
CSAG4	X	151895975	151903136
CSDC2	22	41956766	41972670
CSDE1	1	115259533	115300604
CSE1L	20	47662848	47713489
CSE1L-AS1	20	47656999	47662581
CSF1	1	110452863	110464502
CSF1R	5	149432853	149492935
CSF2	5	131409482	131411859
CSF2RA	X	1387692	1428828
CSF2RB	22	37309669	37336491
CSF2RBP1	22	37346570	37349764
CSF3	17	38171613	38174066
CSF3R	1	36931643	36948879
CSGALNACT1	8	19261671	19540272
CSGALNACT2	10	43633933	43657669
CSH1	17	61972274	61974013
CSHL1	17	61986956	61988649
CSK	15	75074397	75095539
CSMD1	8	2792874	3267129
CSMD2	1	33979608	34631443
CSMD2-AS1	1	34334553	34351059
CSMD3	8	113235156	114449328
CSN1S1	4	70796798	70812288
CSN1S2AP	4	70933102	70950990
CSN2	4	70820973	70826725
CSN3	4	71108304	71117145
CSNK1A1	5	148871759	148930960
CSNK1A1L	13	37677397	37679803
CSNK1A1P1	15	37090796	37110660
CSNK1A1P3	5	98169085	98169415
CSNK1D	17	80196898	80206856
CSNK1E	22	38686696	38714089
CSNK1G1	15	64457715	64648386
CSNK1G2	19	1941187	1981337
CSNK1G2-AS1	19	1952529	1954548
CSNK1G2P1	9	5040944	5041940
CSNK1G3	5	122847792	122952465
CSNK2A1	20	459115	524340
CSNK2A2	16	58191810	58231824
CSNK2A3	11	11373488	11374904
CSNK2B	6	31633012	31637847
CSPG4	15	75966662	76005189
CSPG4P1Y	Y	27629054	27632852
CSPG4P2Y	Y	26329580	26333378
CSPG4P3Y	Y	26332655	26338017
CSPG4P4Y	Y	27624415	27629777
CSPG4P5	15	84956504	84962703
CSPG4P11	15	84855503	84866136
CSPG4P12	15	85734668	85745240
CSPG4P13	15	78187025	78197016
CSPG5	3	47603728	47622282
CSPP1	8	67974660	68005855
CSRNP1	3	39183345	39195066
CSRNP2	12	51454989	51477333
CSRNP3	2	166326156	166545917
CSRP1	1	201452657	201478584
CSRP2	12	77252494	77272840
CST1	20	23728189	23731574
CST2	20	23804405	23807368
CST2P1	20	23691956	23692043
CST3	20	23608533	23618582
CST4	20	23666276	23669677
CST5	20	23856571	23860387
CST6	11	65779311	65780976
CST7	20	24929865	24940562
CST8	20	23471737	23476526
CST9	20	23583046	23586513
CST9L	20	23545368	23549386
CST9LP1	20	23528400	23531289
CST9LP2	20	23564281	23567147
CST11	20	23431039	23433494
CST12P	20	23456336	23460435
CST13P	20	23499782	23522655
CSTA	3	122044090	122060819
CSTB	21	45192392	45196326
CSTF1	20	54967426	54974413
CSTF2	X	100075383	100095921
CSTF2T	10	53455246	53459355
CSTF3	11	33098733	33107450
CSTF3-AS1	11	33183202	33211840
CSTL1	20	23420321	23425567
CSTP1	20	23899407	23902806
CT45A5	X	134928330	134936735
CT45A11P	X	135024636	135029298
CT47A1	X	120111459	120119638
CT47A2	X	120111465	120114778
CT47A3	X	120106605	120109918
CT47A4	X	120101745	120105058
CT47A5	X	120092018	120100198
CT47A6	X	120092024	120095337
CT47A7	X	120087141	120090454
CT47A8	X	120082281	120085594
CT47A9	X	120077420	120080733
CT47A10	X	120072560	120075873
CT47A11	X	120067699	120071012
CT47A12	X	120011343	120066151
CT47B1	X	120006456	120009779
CT55	X	134290460	134305322
CT62	15	71402582	71407833
CT83	X	115592848	115594164
CTAG1B	X	153845864	153847533
CTAG2	X	153880245	153881853
CTAGE1	18	19993563	19994830
CTAGE3P	13	52482353	52484757
CTAGE4	7	143880558	143883146
CTAGE5	14	39734487	39762515
CTAGE6	7	143452181	143454789
CTAGE7P	10	131904272	131907095
CTAGE8	7	143963793	143966381
CTAGE9	6	132029580	132032206
CTAGE10P	13	50464726	50467134
CTAGE11P	13	75812079	75814432
CTAGE12P	9	27608379	27610743
CTAGE13P	6	168687584	168690030
CTAGE14P	2	168570172	168572575
CTAGE15	7	143268893	143271480
CTAGE16P	13	59102748	59105160
CTBP1	4	1205235	1242925
CTBP1-AS2	4	1243087	1244234
CTBP2	10	126676420	126849082
CTBP2P1	Y	59001390	59001635
CTBP2P2	10	96406120	96407753
CTBP2P3	18	58330347	58331602
CTBP2P4	5	97912044	97912964
CTBP2P5	2	49142405	49143669
CTBP2P6	11	43543585	43544814
CTBP2P7	19	36987817	36989061
CTBP2P8	1	68627443	68628773
CTBS	1	85015288	85040147
CTC1	17	8130190	8151360
CTCF	16	67596309	67673086
CTCFL	20	56071034	56100163
CTDNEP1	17	7146909	7154994
CTDP1	18	77439800	77514510
CTDSP1	2	219262978	219269141
CTDSP2	12	58213709	58240522
CTDSPL	3	37903450	38025960
CTDSPL2	15	44719431	44821236
CTF1	16	30907927	30914881
CTF2P	16	30915668	30921529
CTGF	6	132269315	132272513
CTH	1	70876900	70905534
CTHRC1	8	104383742	104395225
CTHRC1P1	X	78432696	78433165
CTIF	18	46065416	46389588
CTLA4	2	204732508	204738683
CTNNA1	5	137946655	138145778
CTNNA1P1	5	114725339	114728067
CTNNA2	2	79412356	80875904
CTNNA3	10	67672275	69455927
CTNNAL1	9	111704850	111775809
CTNNB1	3	41236327	41266202
CTNNBIP1	1	9908333	9970321
CTNNBL1	20	36322407	36500531
CTNND2	5	10971951	11904155
CTNS	17	3539761	3564832
CTPS1	1	41445006	41478235
CTPS2	X	16606125	16730340
CTR9	11	10772533	10801290
CTRB1	16	75252897	75258822
CTRB2	16	75237993	75241083
CTRC	1	15764934	15773149
CTRL	16	67961542	67963577
CTSA	20	44518782	44527459
CTSB	8	11700032	11725646
CTSC	11	88026759	88070955
CTSD	11	1773981	1785222
CTSE	1	206317458	206332104
CTSF	11	66330933	66336067
CTSG	14	25042727	25045456
CTSH	15	79213399	79237433
CTSK	1	150768683	150780799
CTSL	9	90340433	90346307
CTSL3P	9	90387367	90389214
CTSLP1	10	89146441	89149960
CTSLP4	10	52465139	52468666
CTSLP6	10	81630130	81633659
CTSLP8	9	90459066	90462229
CTSO	4	156845269	156875069
CTSS	1	150702671	150738433
CTSV	9	99794939	99801592
CTSW	11	65647279	65651212
CTSZ	20	57570239	57582302
CTTN	11	70244509	70282690
CTTNBP2	7	117350704	117513561
CTTNBP2NL	1	112938802	113003786
CTXN1	19	7989371	7991051
CTXN2	15	48483735	48495953
CTXN3	5	126984735	126994322
CUBN	10	16865962	17171830
CUBNP1	10	43189818	43210023
CUBNP2	10	45727473	45742809
CUBNP3	10	45622765	45644362
CUEDC1	17	55938603	56032684
CUEDC2	10	104183001	104192418
CUL1	7	148395005	148497674
CUL1P1	5	127120309	127122734
CUL2	10	35297478	35379570
CUL3	2	225334866	225450065
CUL4A	13	113862551	113917896
CUL4AP1	4	117347138	117352048
CUL4B	X	119658463	119694555
CUL5	11	107879458	107978503
CUL7	6	43005354	43021437
CUL9	6	43149912	43192325
CUTA	6	33384218	33386094
CUTC	10	101462314	101503080
CUX1	7	101458958	101927249
CUX2	12	111471827	111788358
CUX2P1	10	10299131	10299429
CUZD1	10	124591664	124610309
CWC15	11	94695786	94706776
CWC22	2	180809602	180871780
CWC27	5	64064756	64314590
CWF19L1	10	101992054	102027437
CWF19L2	11	107197070	107328570
CWH43	4	48988263	49064096
CX3CL1	16	57406369	57418960
CX3CR1	3	39304984	39321525
CXADR	21	18884699	18942418
CXADRP1	21	15048342	15049437
CXADRP3	18	14477953	14499277
CXCL1	4	74735109	74735894
CXCL1P1	4	74809727	74810041
CXCL2	4	74962751	74965010
CXCL3	4	74902305	74904406
CXCL5	4	74861358	74864496
CXCL6	4	74702213	74704477
CXCL8	4	74606222	74609433
CXCL9	4	76922427	76928641
CXCL10	4	76942272	76944650
CXCL11	4	76954834	76957350
CXCL12	10	44793037	44880497
CXCL13	4	78432906	78532988
CXCL14	5	134906372	134914969
CXCL16	17	4636820	4643114
CXCL17	19	42932439	42947200
CXCR1	2	219027567	219031718
CXCR2	2	218990011	219000126
CXCR2P1	2	218923877	218930452
CXCR3	X	70835765	70838367
CXCR4	2	136871918	136873813
CXCR5	11	118754474	118768508
CXCR6	3	45982424	45989829
CXorf21	X	30576940	30595961
CXorf23	X	19930977	19988416
CXorf36	X	45007618	45060146
CXorf38	X	40488284	40506806
CXorf40A	X	148621899	148627266
CXorf40B	X	149097744	149106653
CXorf49	X	70934220	70936237
CXorf49B	X	70983139	70987051
CXorf51A	X	145895623	145896244
CXorf51B	X	145891301	145891927
CXorf56	X	118672111	118699397
CXorf57	X	105855159	105922667
CXorf58	X	23925917	23957624
CXorf65	X	70323738	70326638
CXorf66	X	139037883	139047679
CXorf67	X	51149766	51151687
CXXC1	18	47808712	47814674
CXXC1P1	X	47566589	47596027
CXXC4	4	105389468	105416051
CXXC4-AS1	4	105412121	105618749
CXXC5	5	139026883	139060314
CXXC5-AS1	5	139028583	139029313
CYB5A	18	71920529	71928916
CYB5AP4	20	22866307	22866706
CYB5AP5	14	26677241	26677630
CYB5B	16	69458427	69500169
CYB5D1	17	7761063	7763792
CYB5D2	17	4046461	4060379
CYB5R1	1	202930996	202936408
CYB5R2	11	7686330	7694732
CYB5R3	22	43013845	43042995
CYB5R4	6	84569361	84677143
CYB5RL	1	54638008	54665683
CYB561	17	61509664	61523739
CYB561A3	11	61116216	61129771
CYB561D1	1	110036673	110038894
CYB561D2	3	50388125	50391500
CYBA	16	88709690	88717560
CYBB	X	37639263	37672714
CYBRD1	2	172378756	172412117
CYC1	8	145149929	145152428
CYCS	7	25159709	25164980
CYCSP1	14	77100056	77100371
CYCSP2	15	41401075	41401376
CYCSP4	1	202338653	202339273
CYCSP5	1	244761692	244761989
CYCSP6	2	78639918	78640220
CYCSP8	2	131534218	131534530
CYCSP10	3	10042330	10042624
CYCSP11	3	10099656	10099971
CYCSP12	3	11920303	11920603
CYCSP17	6	95952057	95952372
CYCSP19	7	121038505	121038821
CYCSP20	7	128757566	128757881
CYCSP22	8	51675019	51675358
CYCSP23	8	120630401	120630714
CYCSP24	9	96800311	96800627
CYCSP25	11	31302218	31302534
CYCSP26	11	57772857	57773177
CYCSP27	11	74193294	74193587
CYCSP28	11	83039968	83040289
CYCSP29	11	108693059	108693377
CYCSP30	12	88143918	88144090
CYCSP32	13	20032537	20032858
CYCSP33	13	24974840	24975167
CYCSP34	13	41437734	41438038
CYCSP35	13	99281939	99282243
CYCSP38	15	60850278	60850600
CYCSP39	16	25465659	25465968
CYCSP40	17	75195031	75195625
CYCSP42	21	16862848	16863086
CYCSP43	X	68705185	68705495
CYCSP44	X	144258101	144258414
CYCSP45	X	153106705	153107020
CYCSP46	Y	17053426	17053630
CYCSP48	Y	28546757	28547377
CYCSP49	Y	28695571	28695890
CYCSP51	1	150876371	150876689
CYCSP52	1	157098153	157098463
CYCSP53	1	171413837	171414102
CYCSP55	6	34187215	34187843
CYCTP	2	178957229	178969197
CYFIP2	5	156693088	156820241
CYGB	17	74523437	74533987
CYHR1	8	145674964	145690418
CYLC1	X	83116153	83141705
CYLC2	9	105757592	105780770
CYLD	16	50775960	50835846
CYMP	1	111023373	111033899
CYMP-AS1	1	111030301	111032880
CYP1A1	15	75011882	75017877
CYP1A2	15	75041184	75048543
CYP1B1	2	38294115	38297840
CYP1B1-AS1	2	38302790	38358759
CYP1D1P	9	75657660	75671444
CYP2A6	19	41349442	41356352
CYP2A7	19	41381343	41388657
CYP2A7P1	19	41530171	41533615
CYP2A7P2	19	41414376	41416754
CYP2A13	19	41594376	41602100
CYP2AB1P	3	183613687	183628724
CYP2AC1P	6	49533636	49547879
CYP2B6	19	41497203	41524303
CYP2B7P	19	41430123	41456565
CYP2C8	10	96796529	96829254
CYP2C9	10	96698414	96703023
CYP2C18	10	96443250	96495945
CYP2C19	10	96447910	96612830
CYP2C56P	2	165178442	165178733
CYP2C58P	10	96625608	96632886
CYP2C59P	10	96766882	96767313
CYP2C60P	10	96769430	96769569
CYP2C61P	10	66522639	66522929
CYP2D6	22	42522500	42526908
CYP2D7	22	42536213	42540576
CYP2D8P	22	42545876	42551007
CYP2E1	10	135333909	135352626
CYP2F1	19	41620336	41634159
CYP2F2P	19	41324625	41332677
CYP2G1P	19	41396730	41406413
CYP2G2P	19	41556353	41568349
CYP2J2	1	60358979	60392462
CYP2R1	11	14899552	14908880
CYP2S1	19	41698953	41713444
CYP2T1P	19	41314429	41317295
CYP2T3P	19	41640626	41643213
CYP2U1	4	108852524	108874613
CYP2W1	7	1022834	1029276
CYP3A4	7	99354603	99381808
CYP3A5	7	99245816	99277619
CYP3A7	7	99302659	99318592
CYP3A43	7	99425635	99437043
CYP3A52P	7	99469790	99469881
CYP3A54P	7	4551589	4551664
CYP3A137P	7	99417640	99417709
CYP4A11	1	47394848	47407156
CYP4A22	1	47603106	47614536
CYP4A22-AS1	1	47562324	47644943
CYP4A26P	1	47433350	47433546
CYP4A27P	1	47466569	47466759
CYP4A43P	1	47460053	47460174
CYP4A44P	1	47468666	47468820
CYP4B1	1	47223509	47276522
CYP4F2	19	15988832	16008930
CYP4F3	19	15751706	15770936
CYP4F8	19	15726028	15740448
CYP4F9P	19	16090644	16109830
CYP4F10P	19	15774915	15780636
CYP4F11	19	16023176	16045677
CYP4F12	19	15783566	15807984
CYP4F22	19	15619303	15663128
CYP4F23P	19	15674884	15695520
CYP4F24P	19	15871050	15890719
CYP4F25P	9	69477880	69478916
CYP4F26P	9	33580692	33605280
CYP4F27P	2	130805998	130807013
CYP4F29P	21	15215453	15220685
CYP4F30P	2	131437622	131443436
CYP4F32P	2	95425003	95426024
CYP4F33P	9	38542310	38542566
CYP4F34P	13	19315869	19316858
CYP4F35P	18	14337421	14342523
CYP4F36P	19	15982476	15982662
CYP4F44P	8	43395115	43396070
CYP4F60P	9	44019595	44020591
CYP4F62P	2	131187399	131193956
CYP4V2	4	187112673	187131955
CYP4X1	1	47427035	47516422
CYP4Z1	1	47533159	47583991
CYP4Z2P	1	47308766	47366109
CYP7A1	8	59402736	59412795
CYP7B1	8	65500319	65528371
CYP8B1	3	42897496	42917390
CYP11A1	15	74630099	74660081
CYP11B1	8	143953771	143961262
CYP11B2	8	143991974	143999259
CYP17A1	10	104590287	104597290
CYP17A1-AS1	10	104592477	104594273
CYP19A1	15	51500253	51630807
CYP20A1	2	204103662	204162068
CYP21A1P	6	31973412	31976228
CYP21A2	6	32006041	32009447
CYP24A1	20	52769987	52790512
CYP26A1	10	94833231	94837641
CYP26B1	2	72356366	72375167
CYP26C1	10	94821020	94828454
CYP27A1	2	219646471	219680011
CYP27B1	12	58156116	58160878
CYP27C1	2	127941695	127963343
CYP39A1	6	46517540	46620523
CYP46A1	14	100150640	100179774
CYP46A4P	1	48555039	48555306
CYP51A1	7	91741464	91763844
CYP51A1-AS1	7	91763917	91810039
CYP51A1P1	3	82855665	82857172
CYP51A1P2	13	29296522	29298158
CYP51A1P3	6	148799828	148801899
CYR61	1	86046443	86049645
CYS1	2	10196906	10220538
CYSLTR1	X	77526960	77582980
CYSLTR2	13	49280950	49283498
CYSRT1	9	140119086	140120763
CYSTM1	5	139554226	139623372
CYTH1	17	76670129	76778376
CYTH2	19	48972288	48982639
CYTH3	7	6201406	6312275
CYTH4	22	37678067	37693723
CYTIP	2	158271130	158300654
CYTL1	4	5016312	5021199
CYTOR	2	87754886	87883594
CYYR1	21	27838527	27945603
CYYR1-AS1	21	27765953	27890912
D2HGDH	2	242673993	242688529
DAAM1	14	59655363	59732879
DAAM2	6	39760141	39872644
DAB1	1	57460450	57889729
DAB1-AS1	1	58326203	58328887
DAB2	5	39371779	39425335
DAB2IP	9	124329335	124522506
DACH2	X	85403461	86087605
DACT1	14	59100684	59112190
DACT2	6	168693509	168720434
DACT3	19	47150868	47164395
DACT3-AS1	19	47163620	47180704
DAD1	14	23033804	23058175
DAG1	3	49506145	49573048
DAGLA	11	61447904	61514473
DAGLB	7	6448756	6462434
DALRD3	3	49052920	49056004
DANCR	4	53578596	53580304
DAND5	19	13075972	13085338
DANT1	X	114957296	114959381
DANT2	X	115033603	115085422
DAO	12	109252707	109294697
DAOA	13	106118215	106143383
DAOA-AS1	13	106111403	106158030
DAP	5	10679341	10761384
DAP3	1	155657750	155659128
DAP3P1	1	155556434	155571988
DAP3P2	2	172347931	172348441
DAPK1	9	90112142	90323546
DAPK1-IT1	9	90168368	90169374
DAPK2	15	64199234	64332466
DAPL1	2	159651828	159710294
DAPP1	4	100737989	100791311
DARS	2	136664246	136743254
DARS-AS1	2	136742745	136774099
DARS2	1	173793640	173827684
DAW1	2	228735769	228789060
DAXX	6	33286334	33290791
DAZ1	Y	25275501	25345241
DAZ2	Y	25365593	25437503
DAZ3	Y	26909215	26959626
DAZ4	Y	26980007	27053183
DAZAP1	19	1407567	1435719
DAZAP2	12	51632075	51637717
DAZAP2P1	2	203066102	203066423
DAZL	3	16628298	16647006
DBF4	7	87505530	87537691
DBF4B	17	42785975	42829632
DBF4P1	10	65928714	65929452
DBH	9	136501481	136524466
DBH-AS1	9	136519707	136522435
DBI	2	120124496	120130126
DBIL5P	17	655899	658576
DBIL5P2	2	63344985	63346677
DBIP1	6	80146624	80146884
DBIP2	5	79899201	79899463
DBN1	5	176883608	176900742
DBNDD1	16	90071272	90085881
DBNDD2	20	44034696	44039250
DBNL	7	44084238	44100932
DBP	19	49133286	49140695
DBR1	3	137879853	137893791
DBT	1	100652474	100715390
DBX2	12	45408454	45444882
DCAF1	3	51433297	51467664
DCAF4	14	73393039	73425829
DCAF4L1	4	41983712	41988476
DCAF4L2	8	88882972	88886296
DCAF5	14	69517597	69619843
DCAF6	1	167905020	167956785
DCAF8	1	160185504	160232291
DCAF8L1	X	27996109	27999566
DCAF10	9	37800498	37863322
DCAF11	14	24583403	24586515
DCAF12	9	34086384	34126771
DCAF12L1	X	125683368	125686834
DCAF12L2	X	125298336	125300080
DCAF13	8	104426941	104455681
DCAF13P1	7	105765816	105767146
DCAF13P2	5	17202382	17203254
DCAF13P3	15	51236859	51238193
DCAF15	19	14063303	14072254
DCAF16	4	17802277	17812381
DCAF17	2	172290726	172338668
DCANP1	5	134779904	134783038
DCBLD1	6	117774979	117825127
DCBLD2	3	98514784	98620533
DCC	18	49866541	51057784
DCD	12	55038374	55042277
DCDC1	11	30851915	30946955
DCDC2	6	24171983	24205531
DCDC2B	1	32674694	32681797
DCDC2C	2	3751452	3826457
DCHS1	11	6642555	6677085
DCHS2	4	155153398	155312449
DCK	4	71858254	71859597
DCLK1	13	36345477	36429779
DCLK2	4	150999425	151178609
DCLK3	3	36753912	36781352
DCLRE1A	10	115594487	115614142
DCLRE1B	1	114447762	114456708
DCLRE1C	10	14939357	14996431
DCLRE1CP1	10	15057070	15130775
DCN	12	91539024	91576900
DCP1B	12	2055219	2113677
DCP2	5	112312398	112355820
